time_ms,power_mw,power_dbm
17.25,2.654192806268955e-14,-135.76067532241262
17.3,1.3751940642488846e-13,-128.61636010862537
17.35,1.4108659535464808e-14,-138.50514246628737
17.4,5.041612608277573e-14,-132.9743052806675
17.45,1.5123754816510112e-13,-128.203403719535
17.5,2.1452413747106884e-13,-126.68523835503832
17.55,1.0682274200997892e-13,-129.71336278412198
17.6,3.1202921860418684e-13,-125.058047364802
17.65,1.8078746899053937e-13,-127.42831675281364
17.7,4.9832438597105483e-14,-133.02487859701253
17.75,2.1791731632758642e-13,-126.61708258112101
17.8,6.077028078092031e-14,-132.16308757048725
17.85,1.2548837960180462e-13,-129.0139648859307
17.9,6.326280950630892e-14,-131.98851524940167
17.95,2.8271080363727892e-14,-135.48657594869508
18.0,1.9103710193837822e-14,-137.18882278813484
18.05,2.340093031215912e-13,-126.30766876717811
18.1,1.4547489599109312e-14,-138.37211944638148
18.15,9.545697034022491e-14,-130.2019235360064
18.2,4.3366781531929566e-14,-133.62842807844078
18.25,6.106539922166088e-14,-132.14204799308428
18.3,5.746402450684597e-14,-132.40603961359915
18.35,2.3139704291711693e-13,-126.35642195310736
18.4,7.560720324419946e-14,-131.2143682645406
18.45,2.0988266058741974e-13,-126.78023439084376
18.5,2.0083361922500845e-13,-126.97163585243271
18.55,3.7405692609114014e-14,-134.27062299387904
18.6,3.6964086887172264e-14,-134.3222001758118
18.65,4.695738279052028e-13,-123.28296116856485
18.7,3.425156028671196e-13,-124.6531963998251
18.75,5.306739386338602e-14,-132.75172240023568
18.8,1.3166055575469478e-15,-148.8054431603197
18.85,2.087365071597724e-14,-136.8040158796625
18.9,6.114942035315884e-14,-132.1360765536715
18.95,1.0092311936178047e-13,-129.96009334644037
19.0,5.992346784415774e-15,-142.22403061430052
19.05,1.7328436564225557e-14,-137.61240619176405
19.1,1.2818365680558018e-14,-138.92167343082488
19.15,2.504242552792427e-13,-126.01323609072733
19.2,6.532358753303294e-15,-141.8492997208271
19.25,1.228227513017995e-13,-129.10721178393302
19.3,2.546645195141899e-13,-125.94031557794771
19.35,3.0540269665981544e-13,-125.151271325078
19.4,2.2306489447297543e-13,-126.51568772774485
19.45,2.5990182809157e-13,-125.85190665757591
19.5,1.563266516325598e-13,-128.059669741866
19.55,1.9216390403997613e-13,-127.16328186638735
19.6,1.5460850360091322e-13,-128.10766623190074
19.65,1.3744038001611682e-13,-128.61885652707576
19.7,5.814896798218589e-14,-132.35457988650393
19.75,3.7893070285898855e-14,-134.21440204590337
19.8,5.301349386392717e-14,-132.75613572573764
19.85,1.4211975538959331e-13,-128.47345548671038
19.9,2.0418228460679543e-13,-126.89981941148552
19.95,2.8688106499637474e-13,-125.4229811553569
20.0,1.1163842152609177e-13,-129.52186312700735
20.05,1.6169322674830202e-13,-127.91308172100074
20.1,4.330596715036088e-14,-133.63452257874715
20.15,3.5300001433834607e-13,-124.52225276971768
20.2,3.060723331166855e-13,-125.14175925932891
20.25,1.291321129328456e-13,-128.88965742743142
20.3,1.637337333444218e-13,-127.8586183557843
20.35,6.723619419769719e-14,-131.72396877114136
20.4,7.128519030161275e-14,-131.47000686674798
20.45,1.5972876913859668e-13,-127.96616854976817
20.5,1.0599101625405072e-13,-129.74730943760102
20.55,1.0556387279067169e-14,-139.7648468532613
20.6,1.1950272541907806e-13,-129.22622189937857
20.65,1.830328967580615e-13,-127.37470846900604
20.7,6.902675402155114e-14,-131.6098254880022
20.75,7.784830614878503e-14,-131.08750832527318
20.8,6.000880447280674e-14,-132.2178502539246
20.85,3.290135299599929e-14,-134.82786242274508
20.9,7.530235327830719e-14,-131.2319145142462
20.95,1.1102912060414823e-13,-129.54563099960768
21.0,1.3408641735177513e-14,-138.7261521296074
21.05,1.3258368833595783e-13,-128.77509903543913
21.1,1.9783704226495248e-15,-147.03692389457171
21.15,9.172355586028206e-15,-140.375191172591
21.2,1.089766719809757e-13,-129.62666459070624
21.25,1.3108122353493862e-13,-128.82459513490514
21.3,2.1526000733695727e-13,-126.6703664925785
21.35,1.707948741942474e-14,-137.67525167268548
21.4,1.3755456277175072e-14,-138.61524999213026
21.45,1.038556697755381e-13,-129.8356978911429
21.5,1.2806045368684397e-13,-128.92584963910073
21.55,6.888482573640058e-14,-131.61876435926098
21.6,2.2258764941460594e-14,-136.52498936766318
21.65,2.426283034053212e-13,-126.15058538606421
21.7,1.1334953950565447e-13,-129.45580239900582
21.75,5.6811231237606456e-14,-132.45565798402657
21.8,7.87150450288094e-14,-131.03942251776593
21.85,4.5956935310440484e-15,-143.37648940430714
21.9,3.2685522685077464e-14,-134.85644565694852
21.95,5.001778752950125e-13,-123.0087552262111
22.0,1.9809195758075542e-13,-127.03133156209057
22.05,4.7013246427152115e-14,-133.27779758241283
22.1,1.455048424745623e-14,-138.37122552898106
22.15,1.2301939331517352e-14,-139.1002641908208
22.2,3.3957551934939215e-14,-134.69063626421894
22.25,1.9752805894868163e-13,-127.04371203931004
22.3,5.140695923571362e-14,-132.88978084252136
22.35,2.1780476386160143e-13,-126.61932625516057
22.4,6.058872997964553e-14,-132.17608150797952
22.45,2.1219417499364695e-13,-126.73266542219969
22.5,1.895445879892084e-14,-137.2228861134294
22.55,8.433823031165254e-14,-130.73975516125844
22.6,1.9167572669605547e-13,-127.17432881537289
22.65,1.581943537561022e-13,-128.00809021320822
22.7,1.9511316383581921e-13,-127.09713428768492
22.75,1.5333847748130718e-13,-128.14348853227622
22.8,6.976128874784688e-14,-131.56385504983336
22.85,3.6104854030281394e-14,-134.42434406491793
22.9,6.183514356088038e-14,-132.08764626585412
22.95,9.932227070944121e-14,-130.02953360147401
23.0,2.354313239942e-13,-126.28135755032088
23.05,1.2082032579296305e-13,-129.17859997526472
23.1,2.1245687021962446e-13,-126.72729220563029
23.15,2.7554568672300583e-14,-135.59806382849575
23.2,1.2210746261010516e-13,-129.1325779329221
23.25,1.0526528883160176e-13,-129.77714813563682
23.3,3.5271528098948697e-13,-124.52575724609085
23.35,2.072971369131121e-13,-126.83406696128152
23.4,8.131166622353917e-13,-120.89847139362564
23.45,5.857297319651329e-13,-122.32302730384424
23.5,5.4219652189036153e-14,-132.6584327268078
23.55,1.677950291751441e-14,-137.75220909024492
23.6,8.705958509859053e-15,-140.60183406898608
23.65,1.1312035781302921e-14,-139.4645922982035
23.7,8.191850726458062e-14,-130.8661797009703
23.75,1.8331518777838315e-13,-127.368015519767
23.8,3.855172766703327e-13,-124.13956154592364
23.85,1.0416962086022638e-14,-139.82258916510588
23.9,1.0078787985935058e-13,-129.9659169037742
23.95,1.6001247504801682e-13,-127.95846157135863
24.0,2.666324054443061e-13,-125.74087069286782
24.05,1.2809197810503724e-14,-138.92478067552776
24.1,8.863230680509339e-14,-130.52407947303084
24.15,8.687300078688388e-15,-140.61115176729484
24.2,7.224787285956214e-14,-131.4117493499292
24.25,2.616147466633531e-14,-135.82337779407342
24.3,1.3846404815639414e-13,-128.5866297543812
24.35,6.593248712499009e-14,-131.80900541361015
24.4,1.0581932340147291e-14,-139.7543501963203
24.45,1.6505654540679695e-13,-127.82367248809041
24.5,9.827420818955337e-14,-130.07560446671374
24.55,1.643377678632295e-13,-127.84262616177449
24.6,7.6790348777984e-15,-141.14693359862395
24.65,1.6963877623733903e-14,-137.70474869172054
24.7,1.06299276756325e-14,-139.7346969033847
24.75,1.0160239603312457e-13,-129.9309605020471
24.8,4.781320705926322e-14,-133.20452125130208
24.85,8.527720829925305e-14,-130.6916702548536
24.9,4.597984239533899e-13,-123.37432521691183
24.95,4.590690701454411e-14,-133.3812196691088
25.0,1.575193884917689e-12,-118.02665982847375
25.05,2.401930277767399e-13,-126.19439603269647
25.1,7.542748176777693e-14,-131.22470391456997
25.15,2.168836622132592e-12,-116.63773162037762
25.2,1.4853298791888598e-13,-128.2817708250751
25.25,3.4620422198874915e-14,-134.6066764017167
25.3,3.0108255641348245e-13,-125.21314405140902
25.35,1.8433443169942656e-14,-137.34393535641482
25.4,1.2236629432864054e-14,-139.12338191691535
25.45,2.3697508341583875e-13,-126.252973151877
25.5,2.2437936387106356e-13,-126.49017087563097
25.55,7.102252681971831e-14,-131.48603880551173
25.6,2.8622705513430355e-13,-125.4328931767548
25.65,2.2528189276721198e-13,-126.47273713679218
25.7,8.557118622945188e-14,-130.67672447567392
25.75,1.2861474008880698e-13,-128.90709255576738
25.8,9.512958031246864e-14,-130.216844192459
25.85,1.8593033204104494e-13,-127.30649755125951
25.9,1.1505755775949267e-14,-139.39084848656015
25.95,2.948815348053881e-14,-135.303524216944
26.0,4.653022737887171e-14,-133.32264825198348
26.05,4.914301282092759e-14,-133.0853822165744
26.1,1.605766310957269e-14,-137.9431765784087
26.15,5.3748042972838216e-14,-132.69637344278783
26.2,2.017914495182322e-13,-126.95097240010519
26.25,2.3254337712928178e-14,-136.33496024749175
26.3,7.084878745990445e-14,-131.4966757807677
26.35,3.9811087571039354e-14,-133.9999595806902
26.4,2.403543367050459e-13,-126.19148037504215
26.45,4.047180201700058e-15,-143.92847458108642
26.5,1.1888286344656185e-13,-129.2488074291674
26.55,5.234346317892705e-14,-132.81137546699173
26.6,9.130893214729158e-15,-140.39486736238575
26.65,1.7987868556512626e-13,-127.45020294630325
26.7,3.134514800847513e-14,-135.0382967512755
26.75,4.0665533915305856e-14,-133.90773521287136
26.8,2.349732532437901e-13,-126.28981570195167
26.85,7.253644613945042e-14,-131.3944372611752
26.9,2.7247582232532135e-15,-145.6467202805356
26.95,6.719887669476611e-15,-141.72637986609
27.0,1.3209894368964874e-13,-128.79100655145433
27.05,2.8120187723998493e-13,-125.50981784391028
27.1,2.4858218648563215e-13,-126.04529996322613
27.15,1.3763382502366207e-13,-128.612748203457
27.2,7.298425523021537e-14,-131.36770819388366
27.25,8.43957022392881e-14,-130.7367966879242
