frequency_mhz,amplitude_spectrum,power_spectrum
-3.0392156862745097,1.1182449232455636e-16,1.2504717083644764e-32
-3.0322128851540615,1.2412670766236366e-16,1.5407439555097887e-32
-3.0252100840336134,1.913617811354425e-16,3.6619331279329e-32
-3.018207282913165,2.461939947048036e-16,6.061148302870886e-32
-3.011204481792717,1.7554167342883506e-16,3.0814879110195774e-32
-3.004201680672269,1.8136403215130047e-16,3.289291215817795e-32
-2.9971988795518207,8.210209988395744e-17,6.740754805355324e-33
-2.9901960784313726,2.2968600337757844e-16,5.275566014756497e-32
-2.9831932773109244,1.7138238186162797e-16,2.9371920812564866e-32
-2.9761904761904763,1.831847013045761e-16,3.3556634792046775e-32
-2.969187675070028,2.0655959273155256e-17,4.266686534942486e-34
-2.96218487394958,2.589630459771173e-16,6.706185918174657e-32
-2.955182072829132,1.961936200587909e-16,3.84919365517732e-32
-2.9481792717086837,1.7190024281064386e-16,2.954969347835831e-32
-2.9411764705882355,7.211110073938365e-17,5.200010849845537e-33
-2.9341736694677873,1.5301431303080987e-16,2.3413379992290675e-32
-2.927170868347339,1.446495717914835e-16,2.0923498619459534e-32
-2.920168067226891,3.2299861798272926e-16,1.0432810721875307e-31
-2.913165266106443,1.7671366729491455e-16,3.1227720208817753e-32
-2.9061624649859947,1.2001660173517864e-16,1.4403984692060485e-32
-2.8991596638655466,2.2499624364390343e-16,5.062330965386676e-32
-2.8921568627450984,6.819007974972533e-17,4.6498869762739006e-33
-2.88515406162465,3.7765786795529827e-16,1.4262546522854152e-31
-2.8781512605042017,3.9836246851632015e-16,1.5869265632241615e-31
-2.8711484593837535,3.108891161667591e-16,9.665204255094866e-32
-2.8641456582633054,1.0252142282795927e-16,1.0510642138669209e-32
-2.857142857142857,7.954818481105237e-17,6.327913706733343e-33
-2.850140056022409,3.400809815919377e-17,1.1565507404053585e-33
-2.843137254901961,2.1766459664338157e-16,4.7377876631925997e-32
-2.8361344537815127,1.5165928555043602e-16,2.3000538893668692e-32
-2.8291316526610646,4.1771435439351554e-16,1.7448528186639149e-31
-2.8221288515406164,1.6226805844770892e-16,2.6330922792389075e-32
-2.8151260504201683,1.836584775139665e-16,3.3730436362748145e-32
-2.80812324929972,1.4269036395212065e-16,2.036053996478865e-32
-2.801120448179272,2.119005021560051e-16,4.490182281396712e-32
-2.794117647058824,5.219154176575611e-17,2.723957031886664e-33
-2.7871148459383757,4.389672787532406e-17,1.9269227181602525e-33
-2.7801120448179275,1.0007415106216802e-16,1.0014835710813626e-32
-2.7731092436974794,7.963505045898828e-17,6.341741261605611e-33
-2.766106442577031,1.5970981855443686e-16,2.550722614269115e-32
-2.7591036414565826,1.48450577369962e-16,2.2037573921475074e-32
-2.7521008403361344,1.2018929801224936e-16,1.4445467356677286e-32
-2.7450980392156863,2.830524433501838e-16,8.011868568650901e-32
-2.738095238095238,1.8018116086569839e-16,3.2465250730910683e-32
-2.73109243697479,3.322355528865237e-16,1.103804626018141e-31
-2.724089635854342,1.1414104704813638e-16,1.3028178621244885e-32
-2.7170868347338937,2.6278684689400864e-16,6.905692690049512e-32
-2.7100840336134455,1.1102230246251565e-16,1.232595164407831e-32
-2.7030812324929974,1.775667223002711e-16,3.15299408684616e-32
-2.696078431372549,1.0144157941636137e-16,1.0290394034485953e-32
-2.689075630252101,1.8596979981574872e-16,3.458476644350965e-32
-2.682072829131653,4.7795957959781134e-17,2.2844535972931655e-33
-2.6750700280112047,2.709054685466499e-16,7.338977288847991e-32
-2.6680672268907566,2.522650604428591e-16,6.363766072023938e-32
-2.6610644257703084,1.791862713819833e-16,3.2107719851777763e-32
-2.6540616246498603,1.3882768815601816e-16,1.9273126998744622e-32
-2.647058823529412,9.64353356013645e-17,9.2997739525478e-33
-2.640056022408964,2.300147179581926e-16,5.290677047738689e-32
-2.633053221288516,2.656501755057963e-16,7.05700157462604e-32
-2.6260504201680672,2.0533642018267285e-16,4.2163045453435176e-32
-2.619047619047619,1.3134079400647582e-16,1.7250404170251514e-32
-2.612044817927171,1.9293720577532395e-16,3.7224765372389697e-32
-2.6050420168067228,1.4196520494641514e-16,2.0154119415477657e-32
-2.5980392156862746,2.024738143056445e-16,4.0995645479476606e-32
-2.5910364145658265,1.4621156719869436e-16,2.1377822382698315e-32
-2.5840336134453783,9.108413193037741e-17,8.296319089510398e-33
-2.57703081232493,2.2017748381491982e-16,4.8478124379069273e-32
-2.570028011204482,2.757636395897368e-16,7.604558491977826e-32
-2.563025210084034,6.305797239544638e-17,3.976307882624877e-33
-2.5560224089635857,1.629422539515129e-16,2.655017812279932e-32
-2.5490196078431375,6.510022005665521e-17,4.238038651424934e-33
-2.5420168067226894,1.0633755899208719e-16,1.1307676452395623e-32
-2.535014005602241,2.5313467592337656e-16,6.407716415483287e-32
-2.528011204481793,1.879534265123863e-16,3.5326490537747e-32
-2.521008403361345,3.3569566356311304e-16,1.1269157853507878e-31
-2.5140056022408968,3.561128968679052e-17,1.268163953156513e-33
-2.5070028011204486,2.7755217928876616e-16,7.703521222794339e-32
-2.5,1.4946834900704541e-16,2.2340787354891936e-32
-2.492997198879552,1.1102230246251565e-16,1.232595164407831e-32
-2.4859943977591037,1.0007415106216802e-16,1.0014835710813626e-32
-2.4789915966386555,8.777083671441753e-17,7.703719777548943e-33
-2.4719887955182074,8.777083671441753e-17,7.703719777548943e-33
-2.4649859943977592,6.206335383118183e-17,3.851859888774472e-33
-2.457983193277311,5.551115123125783e-17,3.0814879110195774e-33
-2.450980392156863,1.0007415106216802e-16,1.0014835710813626e-32
-2.4439775910364148,2.3714374201337736e-16,5.623715437610729e-32
-2.4369747899159666,6.206335383118183e-17,3.851859888774472e-33
-2.4299719887955185,1.415262216750919e-16,2.0029671421627253e-32
-2.4229691876750703,3.925231146709438e-17,1.5407439555097887e-33
-2.415966386554622,1.2412670766236366e-16,1.5407439555097887e-32
-2.408963585434174,2.633125101432526e-16,6.933347799794049e-32
-2.401960784313726,1.1443916996305594e-16,1.3096323621833204e-32
-2.3949579831932777,1.1102230246251565e-16,1.232595164407831e-32
-2.3879551820728295,1.6653345369377348e-16,2.7733391199176196e-32
-2.3809523809523814,1.3877787807814457e-16,1.9259299443872359e-32
-2.3739495798319328,1.3877787807814457e-16,1.9259299443872359e-32
-2.3669467787114846,3.236828524569469e-16,1.0477058897466563e-31
-2.3599439775910365,3.002224531865041e-16,9.013352139732264e-32
-2.3529411764705883,8.777083671441753e-17,7.703719777548943e-33
-2.34593837535014,1.6883057536160649e-16,2.850376317693109e-32
-2.338935574229692,2.7755575615628914e-17,7.703719777548943e-34
-2.331932773109244,2.0014830212433605e-16,4.0059342843254506e-32
-2.3249299719887957,8.777083671441753e-17,7.703719777548943e-33
-2.3179271708683475,2.830524433501838e-16,8.011868568650901e-32
-2.3109243697478994,5.551115123125783e-17,3.0814879110195774e-33
-2.3039215686274512,1.1443916996305594e-16,1.3096323621833204e-32
-2.296918767507003,8.777083671441753e-17,7.703719777548943e-33
-2.289915966386555,7.850462293418876e-17,6.162975822039155e-33
-2.2829131652661068,8.777083671441753e-17,7.703719777548943e-33
-2.2759103641456586,2.897767167584095e-16,8.397054557528348e-32
-2.2689075630252105,8.326672684688674e-17,6.933347799794049e-33
-2.2619047619047623,2.7755575615628914e-17,7.703719777548943e-34
-2.254901960784314,1.0007415106216802e-16,1.0014835710813626e-32
-2.247899159663866,2.220446049250313e-16,4.930380657631324e-32
-2.2408963585434174,8.326672684688674e-17,6.933347799794049e-33
-2.2338935574229692,3.433175098891678e-16,1.1786691259649883e-31
-2.226890756302521,1.6653345369377348e-16,2.7733391199176196e-32
-2.219887955182073,1.1443916996305594e-16,1.3096323621833204e-32
-2.212885154061625,1.3877787807814457e-16,1.9259299443872359e-32
-2.2058823529411766,1.3877787807814457e-16,1.9259299443872359e-32
-2.1988795518207285,6.206335383118183e-17,3.851859888774472e-33
-2.1918767507002803,1.1443916996305594e-16,1.3096323621833204e-32
-2.184873949579832,2.0014830212433605e-16,4.0059342843254506e-32
-2.177871148459384,1.2412670766236366e-16,1.5407439555097887e-32
-2.170868347338936,1.1443916996305594e-16,1.3096323621833204e-32
-2.1638655462184877,1.0007415106216802e-16,1.0014835710813626e-32
-2.1568627450980395,6.206335383118183e-17,3.851859888774472e-33
-2.1498599439775914,1.0007415106216802e-16,1.0014835710813626e-32
-2.1428571428571432,2.5589376332604516e-16,6.548161810916602e-32
-2.135854341736695,2.0206364052201326e-16,4.08297148210094e-32
-2.128851540616247,2.0014830212433605e-16,4.0059342843254506e-32
-2.1218487394957988,7.850462293418876e-17,6.162975822039155e-33
-2.11484593837535,1.0007415106216802e-16,1.0014835710813626e-32
-2.107843137254902,1.415262216750919e-16,2.0029671421627253e-32
-2.100840336134454,5.551115123125783e-17,3.0814879110195774e-33
-2.0938375350140057,1.8619006149354548e-16,3.4666738998970245e-32
-2.0868347338935576,2.237726045655905e-16,5.007417855406813e-32
-2.0798319327731094,2.9504581591051765e-16,8.705203348630306e-32
-2.0728291316526612,2.482534153247273e-16,6.162975822039155e-32
-2.065826330532213,1.8619006149354548e-16,3.4666738998970245e-32
-2.058823529411765,1.6184142622847344e-16,2.619264724366641e-32
-2.051820728291317,3.6506759942727966e-16,1.3327435215159672e-31
-2.0448179271708686,1.0007415106216802e-16,1.0014835710813626e-32
-2.0378151260504205,1.2412670766236366e-16,1.5407439555097887e-32
-2.0308123249299723,2.0014830212433605e-16,4.0059342843254506e-32
-2.023809523809524,1.3877787807814457e-16,1.9259299443872359e-32
-2.016806722689076,1.8619006149354548e-16,3.4666738998970245e-32
-2.009803921568628,2.7755575615628914e-17,7.703719777548943e-34
-2.0028011204481797,2.7894008272968645e-16,7.780756975324433e-32
